year,overall_score
1967,76
1968,79.5
1969,70
1970,72.98684211
1971,73.11607143
1972,71.56179775
1973,74.08529412
1974,70.33219761
1975,71.01105528
1976,71.61828645
1977,71.51343837
1978,70.44264264
1979,71.12294069
1980,70.48003743
1981,70.87003376
1982,69.7033919
1983,70.18208955
1984,70.25915443
1985,70.12651246
1986,69.65970435
1987,69.42464661
1988,68.47856769
1989,68.53698933
1990,67.54341626
1991,66.83098815
1992,66.65689854
1993,65.98164263
1994,64.80513051
1995,63.22668969
1996,61.55914448
1997,61.27759197
1998,57.2
1999,68.1
